height,latitude,longitude
9.761000000000000000e+03,8.917267818724844557e+64,-1.617154296701793913e+64
9.760000000000000000e+03,9.449976677240216010e+64,-1.687993184633314932e+64
9.759000000000000000e+03,9.053212857965913624e+64,-1.636887450527110925e+64
9.758000000000000000e+03,8.868228246869135823e+64,-1.608808483031452718e+64
9.757000000000000000e+03,8.775781508092727148e+64,-1.590441954399771789e+64
9.756000000000000000e+03,8.928245414956546631e+64,-1.611091303931324234e+64
9.755000000000000000e+03,8.919268534151853625e+64,-1.597423081393250597e+64
9.754000000000000000e+03,8.542490935609522201e+64,-1.542409420107721238e+64
9.753000000000000000e+03,9.021541217692685546e+64,-1.618471239591643232e+64
9.752000000000000000e+03,8.302346808514549723e+64,-1.508793569569136108e+64
9.751000000000000000e+03,8.137649101507651906e+64,-1.478559384719839281e+64
9.750000000000000000e+03,8.433677396875882703e+64,-1.517490553627729558e+64
9.749000000000000000e+03,8.397930842329050296e+64,-1.504803201039108773e+64
9.748000000000000000e+03,8.493169297812269320e+64,-1.532035427669730479e+64
9.747000000000000000e+03,8.140916343506355338e+64,-1.466985041042402982e+64
9.746000000000000000e+03,7.914121521764483602e+64,-1.431671326349866207e+64
9.745000000000000000e+03,8.312238526472628243e+64,-1.498620986108863136e+64
9.744000000000000000e+03,7.762303128907020428e+64,-1.401659266439652702e+64
9.743000000000000000e+03,7.782885084938431601e+64,-1.413182496072008784e+64
9.742000000000000000e+03,7.995525028919162194e+64,-1.438277220276676686e+64
9.741000000000000000e+03,7.879994625458417898e+64,-1.419793137106760257e+64
9.740000000000000000e+03,7.748071407220719094e+64,-1.397679284774887201e+64
9.739000000000000000e+03,7.204280860197061565e+64,-1.301888673181514084e+64
9.738000000000000000e+03,7.445235049360164870e+64,-1.341795668094913272e+64
9.737000000000000000e+03,7.590668759354261122e+64,-1.361851000269461027e+64
9.736000000000000000e+03,7.580835408487586242e+64,-1.370808688155003259e+64
9.735000000000000000e+03,7.163651690548389828e+64,-1.304123316713786014e+64
9.734000000000000000e+03,6.850831727559895748e+64,-1.245961089195656058e+64
9.733000000000000000e+03,7.196297010308447006e+64,-1.297191701085340461e+64
9.732000000000000000e+03,7.344088610612952909e+64,-1.320412390392997714e+64
9.731000000000000000e+03,7.203454468464552379e+64,-1.295557255910985478e+64
9.730000000000000000e+03,6.994561567034696070e+64,-1.267797381940271640e+64
9.729000000000000000e+03,7.029977942670356593e+64,-1.271134006504409452e+64
9.728000000000000000e+03,6.931627104584080340e+64,-1.250996719821352122e+64
9.727000000000000000e+03,6.869415699650904889e+64,-1.238023965777435586e+64
9.726000000000000000e+03,7.116213626942364377e+64,-1.278351919302104863e+64
9.725000000000000000e+03,7.015921515848877119e+64,-1.255330837422348445e+64
9.724000000000000000e+03,6.722585446601739736e+64,-1.214825201024862151e+64
9.723000000000000000e+03,6.814146009897526120e+64,-1.225138725942801283e+64
9.722000000000000000e+03,6.350609916514284722e+64,-1.154625617006559444e+64
9.721000000000000000e+03,6.697355930070832373e+64,-1.210949593401382759e+64
9.720000000000000000e+03,6.372029679207055643e+64,-1.155033324310496342e+64
9.719000000000000000e+03,6.777288151794590316e+64,-1.212376174788595288e+64
9.718000000000000000e+03,6.495163062526443777e+64,-1.163167362949707293e+64
9.717000000000000000e+03,6.466148009830696267e+64,-1.165600059084127290e+64
9.716000000000000000e+03,5.830667096632213841e+64,-1.066152620303013987e+64
9.715000000000000000e+03,6.438362424923096445e+64,-1.156794205403984225e+64
9.714000000000000000e+03,6.394725805923554013e+64,-1.142839789059073857e+64
9.713000000000000000e+03,6.197322043728226554e+64,-1.116449200993374593e+64
9.712000000000000000e+03,5.891716745903624170e+64,-1.074951986544247268e+64
